transaction_id,price,payment_date,customer_id,detail_id,item_id,quantity
T0000000143,85000,2019-02-02 01:25:28,GD903830,30,S002,1
T0000000144,85000,2019-02-02 01:40:33,AS265381,31,S002,1
T0000000145,85000,2019-02-02 04:14:12,IK548249,32,S002,1
T0000000146,120000,2019-02-02 04:14:22,OA959837,33,S003,1
T0000000147,50000,2019-02-02 04:24:40,HI527630,34,S001,1
T0000000148,85000,2019-02-02 05:07:31,GD843424,35,S002,1
T0000000149,100000,2019-02-02 06:06:04,AS220894,36,S001,2
T0000000150,180000,2019-02-02 06:34:29,AS015315,37,S004,1
T0000000151,50000,2019-02-02 10:04:18,OA239766,38,S001,1
T0000000152,210000,2019-02-02 10:52:39,HD471103,39,S005,1
T0000000153,120000,2019-02-02 11:27:59,PL020585,40,S003,1
T0000000154,50000,2019-02-02 11:44:56,PL983707,41,S001,1
T0000000155,120000,2019-02-02 11:51:58,OA393462,42,S003,1
T0000000156,210000,2019-02-02 12:17:44,AS912483,43,S005,1
T0000000157,210000,2019-02-02 12:21:51,IK921715,44,S005,1
T0000000158,120000,2019-02-02 12:41:41,AS820169,45,S003,1
T0000000159,50000,2019-02-02 13:35:40,OA329115,46,S001,1
T0000000160,100000,2019-02-02 15:08:58,HD263348,47,S001,2
T0000000161,120000,2019-02-02 16:56:59,IK429683,48,S003,1
T0000000162,50000,2019-02-02 18:23:27,PL563502,49,S001,1
T0000000163,210000,2019-02-02 19:36:16,OA441851,50,S005,1
T0000000164,150000,2019-02-02 20:20:39,AS820169,51,S001,3
T0000000165,120000,2019-02-02 20:42:12,GD573644,52,S003,1
T0000000166,85000,2019-02-02 21:01:44,PL309891,53,S002,1
T0000000167,180000,2019-02-02 21:20:27,HD194702,54,S004,1
T0000000168,210000,2019-02-02 21:42:23,IK025456,55,S005,1
T0000000169,180000,2019-02-02 23:19:43,IK077913,56,S004,1
T0000000170,150000,2019-02-03 00:46:24,TS918434,57,S001,3
T0000000171,120000,2019-02-03 01:33:24,HD566204,58,S003,1
T0000000172,85000,2019-02-03 02:09:52,HI263602,59,S002,1
T0000000173,50000,2019-02-03 03:18:38,HD995428,60,S001,1
T0000000174,210000,2019-02-03 03:42:58,HD994980,61,S005,1
T0000000175,100000,2019-02-03 06:48:55,TS117409,62,S001,2
T0000000176,180000,2019-02-03 07:27:22,HI196175,63,S004,1
T0000000177,100000,2019-02-03 07:46:23,PL729017,64,S001,2
T0000000178,120000,2019-02-03 08:38:44,GD670693,65,S003,1
T0000000179,120000,2019-02-03 09:27:00,PL381578,66,S003,1
T0000000180,120000,2019-02-03 09:36:26,AS236198,67,S003,1
T0000000181,50000,2019-02-03 11:01:39,GD316957,68,S001,1
T0000000182,210000,2019-02-03 11:02:39,PL407221,69,S005,1
T0000000183,50000,2019-02-03 11:09:40,IK967528,70,S001,1
T0000000184,120000,2019-02-03 11:41:15,AS870817,71,S003,1
T0000000185,180000,2019-02-03 12:09:51,HD678019,72,S004,1
T0000000186,120000,2019-02-03 12:15:59,PL674172,73,S003,1
T0000000187,50000,2019-02-03 13:44:41,GD639619,74,S001,1
T0000000188,100000,2019-02-03 13:45:07,GD730210,75,S001,2
T0000000189,85000,2019-02-03 14:51:30,GD762671,76,S002,1
T0000000190,85000,2019-02-03 16:01:35,IK749861,77,S002,1
T0000000191,180000,2019-02-03 16:23:39,IK629720,78,S004,1
T0000000192,180000,2019-02-03 16:25:37,GD821903,79,S004,1
T0000000193,210000,2019-02-03 16:36:12,OA710903,80,S005,1
T0000000194,295000,2019-02-03 18:03:07,HD699115,81,S002,1
T0000000194,295000,2019-02-03 18:03:07,HD699115,82,S005,1
T0000000195,180000,2019-02-03 18:26:42,GD620805,83,S004,1
T0000000196,85000,2019-02-03 19:13:03,GD735013,84,S002,1
T0000000197,210000,2019-02-03 19:35:54,IK809167,85,S005,1
T0000000198,120000,2019-02-03 19:37:42,HD509520,86,S003,1
T0000000199,120000,2019-02-03 20:02:00,IK921715,87,S003,1
T0000000200,50000,2019-02-03 20:11:37,HD995428,88,S001,1
T0000000201,50000,2019-02-03 20:20:23,PL534171,89,S001,1
T0000000202,85000,2019-02-03 20:48:25,TS963433,90,S002,1
T0000000203,210000,2019-02-03 21:41:24,AS582607,91,S005,1
T0000000204,170000,2019-02-03 23:39:43,PL705609,92,S002,2
T0000000205,120000,2019-02-04 00:01:12,HI145167,93,S003,1
T0000000206,210000,2019-02-04 00:32:47,IK446815,94,S005,1
T0000000207,210000,2019-02-04 00:42:48,TS558026,95,S005,1
T0000000208,170000,2019-02-04 00:53:35,AS359364,96,S003,1
T0000000208,170000,2019-02-04 00:53:35,AS359364,97,S001,1
T0000000209,170000,2019-02-04 01:00:19,TS515806,98,S002,2
T0000000210,85000,2019-02-04 01:37:52,OA138193,99,S002,1
T0000000211,210000,2019-02-04 02:22:39,HI364290,100,S005,1
T0000000212,180000,2019-02-04 03:23:29,HI253328,101,S004,1
T0000000213,120000,2019-02-04 05:42:23,HD163236,102,S003,1
T0000000214,85000,2019-02-04 06:21:34,PL792014,103,S002,1
T0000000215,50000,2019-02-04 07:56:40,PL472728,104,S001,1
T0000000216,50000,2019-02-04 08:15:42,TS931749,105,S001,1
T0000000217,120000,2019-02-04 08:29:15,HD478215,106,S003,1
T0000000218,120000,2019-02-04 08:52:33,AS866028,107,S003,1
T0000000219,205000,2019-02-04 09:20:01,HD819739,108,S003,1
T0000000219,205000,2019-02-04 09:20:01,HD819739,109,S002,1
T0000000220,85000,2019-02-04 10:25:21,TS301045,110,S002,1
T0000000221,85000,2019-02-04 10:38:51,AS345469,111,S002,1
T0000000222,180000,2019-02-04 11:24:30,AS719871,112,S004,1
T0000000223,120000,2019-02-04 11:25:13,HI402688,113,S003,1
T0000000224,50000,2019-02-04 12:16:42,HD768386,114,S001,1
T0000000225,85000,2019-02-04 13:18:52,OA567188,115,S002,1
T0000000226,50000,2019-02-04 13:53:04,GD706415,116,S001,1
T0000000227,210000,2019-02-04 14:50:35,HD068817,117,S005,1
T0000000228,170000,2019-02-04 15:02:46,GD876521,118,S002,2
T0000000229,210000,2019-02-04 15:04:39,HI196175,119,S005,1
T0000000230,210000,2019-02-04 16:05:55,TS179365,120,S005,1
T0000000231,480000,2019-02-04 16:50:28,PL980001,121,S004,1
T0000000231,480000,2019-02-04 16:50:28,PL980001,122,S004,1
T0000000231,480000,2019-02-04 16:50:28,PL980001,123,S003,1
T0000000232,50000,2019-02-04 17:56:50,HD163236,124,S001,1
T0000000233,170000,2019-02-04 19:17:04,HD661448,125,S002,2
T0000000234,100000,2019-02-04 19:42:59,HD693609,126,S001,2
T0000000235,50000,2019-02-04 19:53:45,PL563502,127,S001,1
T0000000236,150000,2019-02-04 20:56:36,AS700935,128,S001,3
T0000000237,120000,2019-02-04 21:54:41,OA075024,129,S003,1
T0000000238,120000,2019-02-04 22:04:29,TS931749,130,S003,1
T0000000239,85000,2019-02-04 23:18:39,GD011312,131,S002,1
T0000000240,210000,2019-02-04 23:31:38,IK688052,132,S005,1
T0000000241,170000,2019-02-05 00:00:59,GD960920,133,S002,2
T0000000242,210000,2019-02-05 00:13:28,HI527630,134,S005,1
T0000000243,50000,2019-02-05 01:18:52,HI013029,135,S001,1
T0000000244,210000,2019-02-05 03:14:19,OA544396,136,S005,1
T0000000245,120000,2019-02-05 03:20:55,OA075024,137,S003,1
T0000000246,180000,2019-02-05 04:01:34,OA383490,138,S004,1
T0000000247,170000,2019-02-05 04:50:25,TS508850,139,S002,2
T0000000248,120000,2019-02-05 04:57:49,AS265381,140,S003,1
T0000000249,210000,2019-02-05 05:20:05,TS357226,141,S005,1
T0000000250,180000,2019-02-05 06:34:55,OA575659,142,S004,1
T0000000251,50000,2019-02-05 06:42:37,PL013000,143,S001,1
T0000000252,210000,2019-02-05 07:01:58,IK779828,144,S005,1
T0000000253,50000,2019-02-05 07:32:19,OA329115,145,S001,1
T0000000254,210000,2019-02-05 07:41:18,PL888478,146,S005,1
T0000000255,50000,2019-02-05 07:44:21,TS511179,147,S001,1
T0000000256,120000,2019-02-05 08:33:11,IK429683,148,S003,1
T0000000257,210000,2019-02-05 08:41:53,OA861572,149,S005,1
T0000000258,50000,2019-02-05 08:51:42,HD566204,150,S001,1
T0000000259,240000,2019-02-05 08:55:00,GD573644,151,S003,2
T0000000260,85000,2019-02-05 08:58:43,OA514351,152,S002,1
T0000000261,50000,2019-02-05 09:00:58,TS816344,153,S001,1
T0000000262,100000,2019-02-05 09:11:43,TS707101,154,S001,2
T0000000263,50000,2019-02-05 09:11:52,HI067846,155,S001,1
T0000000264,180000,2019-02-05 10:15:43,GD246033,156,S004,1
T0000000265,200000,2019-02-05 10:42:31,GD960920,157,S001,2
T0000000265,200000,2019-02-05 10:42:31,GD960920,158,S001,2
T0000000266,180000,2019-02-05 10:48:06,HI910114,159,S004,1
T0000000267,50000,2019-02-05 11:17:29,PL431024,160,S001,1
T0000000268,170000,2019-02-05 11:18:19,PL666694,161,S002,2
T0000000269,50000,2019-02-05 11:31:50,TS893503,162,S001,1
T0000000270,210000,2019-02-05 13:59:44,PL470875,163,S005,1
T0000000271,50000,2019-02-05 14:20:18,AS259792,164,S001,1
T0000000272,180000,2019-02-05 14:52:13,PL186773,165,S004,1
T0000000273,100000,2019-02-05 15:47:15,IK511263,166,S001,2
T0000000274,85000,2019-02-05 16:02:05,GD691243,167,S002,1
T0000000275,50000,2019-02-05 16:44:24,GD883278,168,S001,1
T0000000276,210000,2019-02-05 17:22:26,OA497318,169,S005,1
T0000000277,50000,2019-02-05 18:26:16,GD877461,170,S001,1
T0000000278,100000,2019-02-05 18:48:07,GD624477,171,S001,2
T0000000279,120000,2019-02-05 20:34:22,AS210576,172,S003,1
T0000000280,50000,2019-02-05 20:57:52,HD467920,173,S001,1
T0000000281,120000,2019-02-05 21:30:36,IK397678,174,S003,1
T0000000282,50000,2019-02-05 22:11:24,AS905403,175,S001,1
T0000000283,120000,2019-02-05 22:18:23,HD290947,176,S003,1
T0000000284,50000,2019-02-05 22:19:53,AS844339,177,S001,1
T0000000285,85000,2019-02-06 00:06:19,TS250479,178,S002,1
T0000000286,50000,2019-02-06 00:45:36,AS495117,179,S001,1
T0000000287,100000,2019-02-06 00:55:08,TS457036,180,S001,2
T0000000288,210000,2019-02-06 01:02:26,TS070681,181,S005,1
T0000000289,50000,2019-02-06 01:42:16,GD390442,182,S001,1
T0000000290,120000,2019-02-06 01:52:19,HD919452,183,S003,1
T0000000291,210000,2019-02-06 03:19:54,HI988473,184,S005,1
T0000000292,210000,2019-02-06 05:27:00,HI978950,185,S005,1
T0000000293,210000,2019-02-06 06:48:19,GD021809,186,S005,1
T0000000294,210000,2019-02-06 07:00:47,IK322778,187,S005,1
T0000000295,85000,2019-02-06 07:08:19,IK322778,188,S002,1
T0000000296,100000,2019-02-06 07:15:05,AS211705,189,S001,2
T0000000297,85000,2019-02-06 08:20:44,GD841278,190,S002,1
T0000000298,210000,2019-02-06 08:41:33,HI527630,191,S005,1
T0000000299,50000,2019-02-06 09:12:13,GD378149,192,S001,1
T0000000300,50000,2019-02-06 11:11:05,PL011886,193,S001,1
T0000000301,210000,2019-02-06 11:12:55,HD981245,194,S005,1
T0000000302,180000,2019-02-06 11:17:01,PL924048,195,S004,1
T0000000303,210000,2019-02-06 11:50:08,IK433428,196,S005,1
T0000000304,50000,2019-02-06 12:02:00,AS394423,197,S001,1
T0000000305,210000,2019-02-06 12:38:23,OA707923,198,S005,1
T0000000306,85000,2019-02-06 12:50:04,TS972175,199,S002,1
T0000000307,50000,2019-02-06 12:51:08,GD288833,200,S001,1
T0000000308,210000,2019-02-06 13:07:32,OA707923,201,S005,1
T0000000309,210000,2019-02-06 13:29:00,OA923215,202,S005,1
T0000000310,210000,2019-02-06 13:56:36,HI253328,203,S005,1
T0000000311,120000,2019-02-06 14:09:04,OA071756,204,S003,1
T0000000312,100000,2019-02-06 14:25:20,OA861572,205,S001,2
T0000000313,85000,2019-02-06 16:27:32,HI024535,206,S002,1
T0000000314,50000,2019-02-06 17:16:11,HD711126,207,S001,1
T0000000315,85000,2019-02-06 17:24:41,PL683089,208,S002,1
T0000000316,180000,2019-02-06 18:20:10,HD580454,209,S004,1
T0000000317,85000,2019-02-06 18:27:26,HD028682,210,S002,1
T0000000318,85000,2019-02-06 18:41:52,TS878534,211,S002,1
T0000000319,220000,2019-02-06 19:28:13,PL807633,212,S001,1
T0000000319,220000,2019-02-06 19:28:13,PL807633,213,S002,2
T0000000320,85000,2019-02-06 19:30:48,AS841064,214,S002,1
T0000000321,85000,2019-02-06 20:12:42,OA068305,215,S002,1
T0000000322,210000,2019-02-06 22:33:31,PL299549,216,S005,1
T0000000323,180000,2019-02-07 00:34:01,AS918754,217,S004,1
T0000000324,50000,2019-02-07 01:51:09,TS483186,218,S001,1
T0000000325,85000,2019-02-07 01:58:33,HI780705,219,S002,1
T0000000326,50000,2019-02-07 02:35:04,AS546865,220,S001,1
T0000000327,85000,2019-02-07 02:43:44,IK102369,221,S002,1
T0000000328,100000,2019-02-07 02:59:52,HD722956,222,S001,2
T0000000329,180000,2019-02-07 03:25:54,IK511263,223,S004,1
T0000000330,50000,2019-02-07 04:01:57,HD285695,224,S001,1
T0000000331,50000,2019-02-07 04:07:15,PL470875,225,S001,1
T0000000332,210000,2019-02-07 04:19:43,OA963991,226,S005,1
T0000000333,100000,2019-02-07 04:19:53,OA068305,227,S001,2
T0000000334,50000,2019-02-07 05:19:40,GD912745,228,S001,1
T0000000335,85000,2019-02-07 05:24:29,OA704361,229,S002,1
T0000000336,240000,2019-02-07 05:45:02,HI501312,230,S003,1
T0000000336,240000,2019-02-07 05:45:02,HI501312,231,S003,1
T0000000337,50000,2019-02-07 05:56:42,GD001932,232,S001,1
T0000000338,85000,2019-02-07 06:00:31,HI531972,233,S002,1
T0000000339,85000,2019-02-07 06:01:54,IK014287,234,S002,1
T0000000340,255000,2019-02-07 07:44:19,HD053694,235,S002,3
T0000000341,85000,2019-02-07 07:56:05,AS866028,236,S002,1
T0000000342,50000,2019-02-07 08:43:58,IK067006,237,S001,1
T0000000343,265000,2019-02-07 08:54:17,IK345440,238,S004,1
T0000000343,265000,2019-02-07 08:54:17,IK345440,239,S002,1
T0000000344,85000,2019-02-07 09:45:43,AS237205,240,S002,1
T0000000345,120000,2019-02-07 09:50:02,PL188221,241,S003,1
T0000000346,210000,2019-02-07 11:04:36,GD727041,242,S005,1
T0000000347,210000,2019-02-07 14:24:54,GD903830,243,S005,1
T0000000348,210000,2019-02-07 15:12:34,HI702171,244,S005,1
T0000000349,50000,2019-02-07 15:39:37,PL556767,245,S001,1
T0000000350,50000,2019-02-07 15:58:41,HI348702,246,S001,1
T0000000351,180000,2019-02-07 16:15:45,PL018417,247,S004,1
T0000000352,85000,2019-02-07 16:28:31,GD244145,248,S002,1
T0000000353,85000,2019-02-07 17:58:49,HI779743,249,S002,1
T0000000354,50000,2019-02-07 18:37:37,GD624477,250,S001,1
T0000000355,85000,2019-02-07 18:38:38,AS076940,251,S002,1
T0000000356,210000,2019-02-07 18:44:48,IK844273,252,S005,1
T0000000357,170000,2019-02-07 18:53:18,TS516522,253,S002,2
T0000000358,85000,2019-02-07 19:38:52,OA607825,254,S002,1
T0000000359,170000,2019-02-07 20:14:04,HD071461,255,S002,2
T0000000360,390000,2019-02-07 20:18:40,AS574816,256,S004,1
T0000000360,390000,2019-02-07 20:18:40,AS574816,257,S005,1
T0000000361,85000,2019-02-07 20:18:46,AS015315,258,S002,1
T0000000362,50000,2019-02-07 20:38:43,HD625291,259,S001,1
T0000000363,180000,2019-02-07 20:52:41,OA308429,260,S004,1
T0000000364,180000,2019-02-07 21:24:05,GD691243,261,S004,1
T0000000365,85000,2019-02-07 21:38:09,PL407221,262,S002,1
T0000000366,85000,2019-02-07 21:44:10,AS546865,263,S002,1
T0000000367,120000,2019-02-07 21:50:24,AS185951,264,S003,1
T0000000368,100000,2019-02-07 22:34:27,HI978950,265,S001,2
T0000000369,180000,2019-02-07 22:46:10,HI050277,266,S004,1
T0000000370,85000,2019-02-08 00:09:30,OA222039,267,S002,1
T0000000371,210000,2019-02-08 00:16:58,HI550641,268,S005,1
T0000000372,85000,2019-02-08 01:52:45,GD804496,269,S002,1
T0000000373,50000,2019-02-08 03:24:28,HD453100,270,S001,1
T0000000374,180000,2019-02-08 03:44:03,PL792014,271,S004,1
T0000000375,50000,2019-02-08 04:34:16,AS670699,272,S001,1
T0000000376,50000,2019-02-08 04:45:12,TS070681,273,S001,1
T0000000377,360000,2019-02-08 05:13:51,IK942599,274,S004,2
T0000000378,50000,2019-02-08 05:22:38,TS771339,275,S001,1
T0000000379,210000,2019-02-08 05:44:40,TS369884,276,S005,1
T0000000380,120000,2019-02-08 06:50:16,TS516522,277,S003,1
T0000000381,210000,2019-02-08 07:31:14,IK152942,278,S005,1
T0000000382,85000,2019-02-08 07:56:41,PL896084,279,S002,1
T0000000383,390000,2019-02-08 08:53:07,HI830026,280,S001,2
T0000000383,390000,2019-02-08 08:53:07,HI830026,281,S001,1
T0000000383,390000,2019-02-08 08:53:07,HI830026,282,S003,2
T0000000384,180000,2019-02-08 09:27:47,IK867288,283,S004,1
T0000000385,210000,2019-02-08 09:33:08,IK244606,284,S005,1
T0000000386,210000,2019-02-08 10:15:33,AS547635,285,S005,1
T0000000387,50000,2019-02-08 10:24:39,AS886872,286,S001,1
T0000000388,100000,2019-02-08 10:26:32,PL660410,287,S001,2
T0000000389,180000,2019-02-08 12:11:08,IK943660,288,S004,1
T0000000390,420000,2019-02-08 12:52:54,GD638254,289,S005,2
T0000000391,120000,2019-02-08 13:10:17,IK822921,290,S003,1
T0000000392,180000,2019-02-08 13:23:46,HI089467,291,S004,1
T0000000393,210000,2019-02-08 14:02:03,PL598638,292,S005,1
T0000000394,50000,2019-02-08 14:42:33,OA516337,293,S001,1
T0000000395,85000,2019-02-08 14:46:55,HD467920,294,S002,1
T0000000396,50000,2019-02-08 14:50:01,HI013029,295,S001,1
T0000000397,440000,2019-02-08 14:52:00,PL013000,296,S005,1
T0000000397,440000,2019-02-08 14:52:00,PL013000,297,S001,1
T0000000397,440000,2019-02-08 14:52:00,PL013000,298,S004,1
T0000000398,50000,2019-02-08 15:18:28,OA003684,299,S001,1
T0000000399,210000,2019-02-08 15:25:56,AS077151,300,S005,1
T0000000400,210000,2019-02-08 16:03:57,HD019297,301,S005,1
T0000000401,120000,2019-02-08 16:04:17,OA721349,302,S003,1
T0000000402,180000,2019-02-08 16:34:14,PL764756,303,S004,1
T0000000403,120000,2019-02-08 16:43:22,TS971314,304,S003,1
T0000000404,100000,2019-02-08 16:50:55,AS369586,305,S001,2
T0000000405,210000,2019-02-08 16:56:06,TS810881,306,S005,1
T0000000406,120000,2019-02-08 16:58:35,IK466573,307,S003,1
T0000000407,210000,2019-02-08 17:50:17,GD956496,308,S005,1
T0000000408,180000,2019-02-08 18:02:52,IK749861,309,S004,1
T0000000409,120000,2019-02-08 19:03:56,AS568373,310,S003,1
T0000000410,170000,2019-02-08 19:38:11,OA383490,311,S002,2
T0000000411,85000,2019-02-08 19:42:33,PL573838,312,S002,1
T0000000412,50000,2019-02-08 19:48:07,HD566204,313,S001,1
T0000000413,150000,2019-02-08 20:32:18,AS700935,314,S001,3
T0000000414,210000,2019-02-08 20:47:05,PL849752,315,S005,1
T0000000415,210000,2019-02-08 21:19:23,HD509520,316,S005,1
T0000000416,85000,2019-02-08 22:07:15,TS420499,317,S002,1
T0000000417,85000,2019-02-08 22:11:31,HD994980,318,S002,1
T0000000418,180000,2019-02-08 22:41:58,TS958195,319,S004,1
T0000000419,85000,2019-02-08 23:09:11,HI791416,320,S002,1
T0000000420,200000,2019-02-09 00:58:23,TS518383,321,S001,4
T0000000421,85000,2019-02-09 01:21:24,AS076940,322,S002,1
T0000000422,100000,2019-02-09 01:47:43,OA911257,323,S001,2
T0000000423,85000,2019-02-09 02:13:36,GD850501,324,S002,1
T0000000424,180000,2019-02-09 02:32:43,AS077151,325,S004,1
T0000000425,180000,2019-02-09 02:59:56,TS597253,326,S004,1
T0000000426,85000,2019-02-09 03:40:14,GD670693,327,S002,1
T0000000427,210000,2019-02-09 03:40:55,PL352661,328,S005,1
T0000000428,120000,2019-02-09 04:01:50,OA666190,329,S003,1
T0000000429,210000,2019-02-09 04:21:35,HD719737,330,S005,1
T0000000430,120000,2019-02-09 05:41:07,TS551344,331,S003,1
T0000000431,85000,2019-02-09 05:58:59,IK661529,332,S002,1
T0000000432,180000,2019-02-09 06:25:24,HD622485,333,S004,1
T0000000433,360000,2019-02-09 06:48:21,IK423708,334,S004,2
T0000000434,50000,2019-02-09 08:51:32,OA142331,335,S001,1
T0000000435,50000,2019-02-09 08:59:14,AS518169,336,S001,1
T0000000436,180000,2019-02-09 09:13:31,IK306874,337,S004,1
T0000000437,210000,2019-02-09 10:55:22,HI687125,338,S005,1
T0000000438,100000,2019-02-09 11:16:10,OA515865,339,S001,2
T0000000439,50000,2019-02-09 11:40:40,PL301649,340,S001,1
T0000000440,120000,2019-02-09 13:27:14,TS059971,341,S003,1
T0000000441,210000,2019-02-09 13:55:05,OA116423,342,S005,1
T0000000442,85000,2019-02-09 14:33:33,PL758046,343,S002,1
T0000000443,50000,2019-02-09 15:35:12,IK254439,344,S001,1
T0000000444,210000,2019-02-09 16:08:01,PL731207,345,S005,1
T0000000445,210000,2019-02-09 16:54:38,TS614929,346,S005,1
T0000000446,240000,2019-02-09 17:09:44,AS435092,347,S003,2
T0000000447,210000,2019-02-09 17:32:05,OA829372,348,S005,1
T0000000448,420000,2019-02-09 17:33:09,IK046372,349,S005,2
T0000000449,180000,2019-02-09 17:59:41,AS359364,350,S004,1
T0000000450,85000,2019-02-09 18:58:15,TS518383,351,S002,1
T0000000451,50000,2019-02-09 19:03:03,TS724794,352,S001,1
T0000000452,360000,2019-02-09 19:03:28,HI477055,353,S004,2
T0000000453,180000,2019-02-09 19:46:53,PL792014,354,S004,1
T0000000454,380000,2019-02-09 20:06:17,PL331522,355,S002,2
T0000000454,380000,2019-02-09 20:06:17,PL331522,356,S005,1
T0000000455,210000,2019-02-09 20:07:52,PL907705,357,S005,1
T0000000456,180000,2019-02-09 21:17:37,PL659352,358,S004,1
T0000000457,180000,2019-02-09 22:04:15,GD903830,359,S004,1
T0000000458,50000,2019-02-09 23:27:44,HD853800,360,S001,1
T0000000459,120000,2019-02-09 23:35:53,GD098828,361,S003,1
T0000000460,85000,2019-02-10 00:02:21,TS098760,362,S002,1
T0000000461,360000,2019-02-10 00:07:06,HI402688,363,S004,2
T0000000462,120000,2019-02-10 01:10:50,TS062902,364,S003,1
T0000000463,180000,2019-02-10 01:28:22,TS971314,365,S004,1
T0000000464,180000,2019-02-10 03:10:48,TS810276,366,S004,1
T0000000465,85000,2019-02-10 05:18:45,HD412914,367,S002,1
T0000000466,50000,2019-02-10 05:33:24,HD014166,368,S001,1
T0000000467,50000,2019-02-10 05:46:43,OA834676,369,S001,1
T0000000468,50000,2019-02-10 06:08:51,HD019297,370,S001,1
T0000000469,180000,2019-02-10 06:29:12,OA327340,371,S004,1
T0000000470,85000,2019-02-10 07:19:23,AS230629,372,S002,1
T0000000471,50000,2019-02-10 07:22:32,TS146087,373,S001,1
T0000000472,360000,2019-02-10 07:25:27,OA861572,374,S004,1
T0000000472,360000,2019-02-10 07:25:27,OA861572,375,S004,1
T0000000473,85000,2019-02-10 07:29:43,GD841278,376,S002,1
T0000000474,150000,2019-02-10 08:20:50,AS453084,377,S001,3
T0000000475,85000,2019-02-10 08:24:37,IK624245,378,S002,1
T0000000476,50000,2019-02-10 08:46:01,AS236198,379,S001,1
T0000000477,210000,2019-02-10 09:12:42,PL729017,380,S005,1
T0000000478,210000,2019-02-10 09:37:50,HI360754,381,S005,1
T0000000479,295000,2019-02-10 10:50:08,AS015315,382,S002,1
T0000000479,295000,2019-02-10 10:50:08,AS015315,383,S005,1
T0000000480,180000,2019-02-10 10:54:12,AS369586,384,S004,1
T0000000481,150000,2019-02-10 11:36:02,OA963991,385,S001,3
T0000000482,210000,2019-02-10 12:15:32,HD242691,386,S005,1
T0000000483,85000,2019-02-10 12:51:49,AS924898,387,S002,1
T0000000484,85000,2019-02-10 13:45:16,TS457036,388,S002,1
T0000000485,210000,2019-02-10 14:01:35,PL433500,389,S005,1
T0000000486,50000,2019-02-10 14:08:21,GD316957,390,S001,1
T0000000487,85000,2019-02-10 15:18:44,PL891875,391,S002,1
T0000000488,120000,2019-02-10 15:28:09,GD025393,392,S003,1
T0000000489,120000,2019-02-10 16:48:46,AS230629,393,S003,1
T0000000490,100000,2019-02-10 16:52:42,TS146087,394,S001,2
T0000000491,50000,2019-02-10 17:05:39,PL210567,395,S001,1
T0000000492,50000,2019-02-10 18:08:52,GD518514,396,S001,1
T0000000493,200000,2019-02-10 18:21:42,AS369586,397,S001,4
T0000000494,100000,2019-02-10 19:29:55,TS855513,398,S001,2
T0000000495,50000,2019-02-10 21:54:26,PL417753,399,S001,1
T0000000496,180000,2019-02-10 22:33:48,IK743897,400,S004,1
T0000000497,100000,2019-02-10 23:04:00,HI821087,401,S001,2
T0000000498,170000,2019-02-10 23:33:52,HD076496,402,S002,2
T0000000499,360000,2019-02-10 23:40:15,HI237883,403,S004,2
T0000000500,120000,2019-02-10 23:58:38,TS372874,404,S003,1
T0000000501,180000,2019-02-11 01:45:13,HD827887,405,S004,1
T0000000502,120000,2019-02-11 01:46:08,IK593765,406,S003,1
T0000000503,85000,2019-02-11 02:13:29,PL470875,407,S002,1
T0000000504,85000,2019-02-11 04:51:13,TS518383,408,S002,1
