transaction_id,transaction_date,customer_id,product_id,count,sales,shipping_date,cancellation_date,status
201905050005-1,2019-05-05,C-001059,INNS9,1,219800,2019-05-14,,配達済み
201905050005-2,2019-05-05,C-001059,ZENB5,0,0,2019-05-12,,配達済み
201905050006-1,2019-05-05,C-001178,INDB3,19,2219200,2019-05-14,,配達済み
201905050009-1,2019-05-05,C-001297,ID23,4,79920,2019-05-14,,配達済み
201905050009-2,2019-05-05,C-001297,IMW,2,5074,2019-05-13,,配達済み
201905050011-1,2019-05-05,C-002385,VENB5,1,269800,2019-05-11,,配達済み
201905050013-1,2019-05-05,C-003176,TADB3,0,0,2019-05-10,,配達済み
201905050015-1,2019-05-05,C-003238,CADB7,4,939200,2019-05-12,,配達済み
201905050017-1,2019-05-05,C-003304,INNB5,2,319600,2019-05-11,,配達済み
201905050017-2,2019-05-05,C-003304,CADB7,1,234800,2019-05-12,,配達済み
201905060000-1,2019-05-06,C-000794,INNG7,1,191800,2019-05-19,,配達済み
201905060001-1,2019-05-06,C-001799,CADB3,3,524700,2019-05-20,,配達済み
201905060001-2,2019-05-06,C-001799,VENB7,6,1858800,2019-05-17,,配達済み
201905060001-3,2019-05-06,C-001799,CANB11,8,2319200,2019-05-18,,配達済み
201905060007-1,2019-05-06,C-003016,INNG3,2,273600,2019-05-17,,配達済み
201905060009-1,2019-05-06,C-003578,ZEDB3,2,311600,2019-05-19,,配達済み
201905070000-1,2019-05-07,C-002029,VENB3,0,0,2019-05-18,,配達済み
201905070002-1,2019-05-07,C-002594,TADB5,1,124342,2019-05-19,,配達済み
201905070004-1,2019-05-07,C-003299,INNG7,1,191800,2019-05-17,2019-05-09,キャンセル
201905070005-1,2019-05-07,C-003620,ID16,1,16300,2019-05-19,,配達済み
201905070006-1,2019-05-07,C-003707,CANB1,2,259600,2019-05-20,2019-05-09,キャンセル
201905070008-1,2019-05-07,C-003768,CANB7,1,229900,2019-05-16,,配達済み
201905090001-1,2019-05-09,C-000063,INNG5,1,169800,2019-05-17,,配達済み
201905090002-1,2019-05-09,C-000215,INNG3,1,136800,2019-05-17,,配達済み
201905090003-1,2019-05-09,C-000434,TADB1,3,44910,2019-05-17,,配達済み
201905090004-1,2019-05-09,C-000678,TADB1,6,89820,2019-05-21,,配達済み
201905090006-1,2019-05-09,C-000715,ZEDB5,1,178900,2019-05-20,,配達済み
201905090006-2,2019-05-09,C-000715,PUNB3,5,493700,2019-05-20,,配達済み
201905090007-1,2019-05-09,C-001090,CANB11,1,289900,2019-05-15,,配達済み
201905090008-1,2019-05-09,C-002169,VENB7,3,929400,2019-05-20,,配達済み
201905090016-1,2019-05-09,C-002305,VEDB17,7,7698600,2019-05-17,,配達済み
201905090020-1,2019-05-09,C-002897,CANB11,4,1159600,2019-05-17,,配達済み
201905090021-1,2019-05-09,C-003051,INDB5,16,2476800,2019-05-13,,配達済み
201905090022-1,2019-05-09,C-003516,CANB11,1,289900,2019-05-21,,配達済み
201905090023-1,2019-05-09,C-003554,VEDB9,0,0,2019-05-19,,配達済み
201905100000-1,2019-05-10,C-000177,VEDB7,1,228900,2019-05-17,,配達済み
201905100004-1,2019-05-10,C-000568,ID23,8,159840,2019-05-20,,配達済み
201905100005-1,2019-05-10,C-000879,CADB11,4,1459200,2019-05-16,,配達済み
201905100007-1,2019-05-10,C-001472,INNB3,3,380400,2019-05-19,,配達済み
201905100008-1,2019-05-10,C-002936,ZEDB1,1,124800,2019-05-17,,配達済み
201905110001-1,2019-05-11,C-000822,CANB13,2,699600,2019-05-19,,配達済み
201905110002-1,2019-05-11,C-001447,ZENB7,2,462800,2019-05-16,,配達済み
201905110006-1,2019-05-11,C-001604,INNG5,1,169800,2019-05-20,,配達済み
201905110008-1,2019-05-11,C-002885,VEDB5,1,224800,2019-05-18,,配達済み
201905110009-1,2019-05-11,C-003146,INNS1,12,897600,2019-05-16,,配達済み
201905120000-1,2019-05-12,C-001133,INNS3,3,380400,2019-05-23,,配達済み
201905120003-1,2019-05-12,C-001690,IMW,2,5074,2019-05-21,,配達済み
201905120005-1,2019-05-12,C-002554,ID23,4,79920,2019-05-21,,配達済み
201905130000-1,2019-05-13,C-000203,PUNW3,1,98740,2019-05-22,,配達済み
201905130004-1,2019-05-13,C-000263,PUDB3,2,179880,2019-05-21,,配達済み
201905130005-1,2019-05-13,C-000411,CANB5,2,399600,2019-05-24,,配達済み
201905130005-2,2019-05-13,C-000411,VEDB3,1,184800,2019-05-24,,配達済み
201905130008-1,2019-05-13,C-000857,CANB11,1,289900,2019-05-20,,配達済み
201905130009-1,2019-05-13,C-002793,VENB7,1,309800,2019-05-22,,配達済み
201905130011-1,2019-05-13,C-003285,VENB3,2,445600,2019-05-22,,配達済み
201905130013-1,2019-05-13,C-003596,TADB5,2,248684,2019-05-20,,配達済み
201905140000-1,2019-05-14,C-000157,ZEDB5,5,894500,2019-05-25,,配達済み
201905140001-1,2019-05-14,C-000337,CADB13,1,434800,2019-05-23,,配達済み
201905140002-1,2019-05-14,C-001274,INNB7,4,727200,2019-05-24,,配達済み
201905140005-1,2019-05-14,C-001444,CADB5,2,389600,2019-05-22,,配達済み
201905140008-1,2019-05-14,C-002264,ZENB5,2,347600,2019-05-26,,配達済み
201905140010-1,2019-05-14,C-002279,PUNB1,1,67800,2019-05-24,,配達済み
201905140011-1,2019-05-14,C-003411,TADB5,1,124342,2019-05-26,,配達済み
201905140014-1,2019-05-14,C-003570,ZEDB9,1,256400,2019-05-23,,配達済み
201905150001-1,2019-05-15,C-001701,TADB5,3,373026,2019-05-23,,配達済み
201905160001-1,2019-05-16,C-003591,VEDB3,3,554400,2019-05-25,,配達済み
201905160001-2,2019-05-16,C-003591,TADB5,3,373026,2019-05-26,,配達済み
201905170001-1,2019-05-17,C-002080,CADB7,1,234800,2019-05-30,,配達済み
201905170001-2,2019-05-17,C-002080,PUNS1,1,67800,2019-05-29,,配達済み
201905180001-1,2019-05-18,C-000741,CANB5,5,999000,2019-05-30,,配達済み
201905180003-1,2019-05-18,C-001389,VEDB11,3,1199400,2019-05-30,,配達済み
201905190000-1,2019-05-19,C-000446,TADB1,1,14970,2019-05-25,,配達済み
201905190003-1,2019-05-19,C-000546,IMU,3,3690,2019-05-27,,配達済み
201905190006-1,2019-05-19,C-001082,INNS3,1,126800,2019-05-26,,配達済み
201905190009-1,2019-05-19,C-001088,VEDB13,2,1169600,2019-05-25,,配達済み
201905190010-1,2019-05-19,C-001402,INNS9,1,219800,2019-05-28,,配達済み
201905190011-1,2019-05-19,C-001506,CANB9,5,1299000,2019-06-01,,配達済み
201905190012-1,2019-05-19,C-001693,CADB5,1,194800,2019-05-26,,配達済み
201905190017-1,2019-05-19,C-003009,PUNW3,1,98740,2019-05-29,,配達済み
201905190018-1,2019-05-19,C-003424,TADB3,7,317394,2019-05-29,,配達済み
201905190019-1,2019-05-19,C-003570,PUNB3,4,394960,2019-05-30,,配達済み
201905200000-1,2019-05-20,C-001017,CANB11,2,579800,2019-06-01,,配達済み
201905200001-1,2019-05-20,C-002034,CANB11,1,289900,2019-05-25,,配達済み
201905200002-1,2019-05-20,C-003417,CANB13,2,699600,2019-05-27,,配達済み
201905200003-1,2019-05-20,C-003634,VEDB5,1,224800,2019-05-28,,配達済み
201905210000-1,2019-05-21,C-000606,ZENB7,1,231400,2019-05-28,,配達済み
201905210004-1,2019-05-21,C-001664,CANB3,1,149800,2019-05-28,,配達済み
201905210005-1,2019-05-21,C-002129,INNG3,1,136800,2019-05-29,,配達済み
201905210006-1,2019-05-21,C-002846,CANB13,1,349800,2019-05-30,,配達済み
201905210008-1,2019-05-21,C-003522,INNG3,6,820800,2019-06-02,,配達済み
201905230002-1,2019-05-23,C-000154,IMW,9,22833,2019-05-31,,配達済み
201905230004-1,2019-05-23,C-000786,INDB5,0,0,2019-06-03,,配達済み
201905230005-1,2019-05-23,C-001779,VENB3,8,1782400,2019-05-31,,配達済み
201905230007-1,2019-05-23,C-002404,INDB3,4,467200,2019-05-31,,配達済み
201905230008-1,2019-05-23,C-003249,INNG1,1,84800,2019-06-01,,配達済み
201905240000-1,2019-05-24,C-000249,VEDB7,8,1831200,2019-06-02,,配達済み
201905240001-1,2019-05-24,C-000352,INDB7,1,184800,2019-06-01,,配達済み
201905240001-2,2019-05-24,C-000352,IKW,1,3781,2019-06-03,,配達済み
201905240001-3,2019-05-24,C-000352,INNG3,3,410400,2019-06-04,,配達済み
201905240005-1,2019-05-24,C-001003,INNS5,2,319600,2019-06-01,,配達済み
201905240007-1,2019-05-24,C-001703,ZEDB3,4,623200,2019-06-01,,配達済み
201905240008-1,2019-05-24,C-002590,TADB5,0,0,2019-05-30,,配達済み
201905240010-1,2019-05-24,C-002610,INDB1,5,474000,2019-06-03,,配達済み
201905240012-1,2019-05-24,C-003302,CADB11,1,364800,2019-06-03,,配達済み
201905240012-2,2019-05-24,C-003302,PUNR1,1,67800,2019-06-01,,配達済み
201905240013-1,2019-05-24,C-003611,VENB7,1,309800,2019-06-04,,配達済み
201905250001-1,2019-05-25,C-000451,CANB13,1,349800,2019-06-01,,配達済み
201905250003-1,2019-05-25,C-001714,ZEDB7,2,433800,2019-06-03,,配達済み
201905250003-2,2019-05-25,C-001714,TADB5,2,248684,2019-06-06,,配達済み
201905250005-1,2019-05-25,C-002100,ZENB5,2,347600,2019-06-03,,配達済み
201905250007-1,2019-05-25,C-002949,CADB7,1,234800,2019-06-04,,配達済み
201905270000-1,2019-05-27,C-000237,CANB3,2,299600,2019-06-07,,配達済み
201905270000-2,2019-05-27,C-000237,PUNS3,1,98740,2019-06-05,,配達済み
201905270003-1,2019-05-27,C-000697,CANB11,1,289900,2019-06-06,,配達済み
201905270004-1,2019-05-27,C-002012,TADB1,6,89820,2019-06-07,,配達済み
201905270005-1,2019-05-27,C-002568,TADB3,2,90684,2019-06-09,,配達済み
201905270009-1,2019-05-27,C-003152,PUDB3,4,359760,2019-06-08,,配達済み
201905280001-1,2019-05-28,C-002012,INNS5,4,639200,2019-06-04,,配達済み
201905300001-1,2019-05-30,C-000501,CADB11,3,1094400,2019-06-12,,配達済み
201905300002-1,2019-05-30,C-000890,INDB9,1,216800,2019-06-10,,配達済み
201905300003-1,2019-05-30,C-001887,INNG1,2,169600,2019-06-05,,配達済み
201905300004-1,2019-05-30,C-002780,ZEDB7,4,867600,2019-06-07,,配達済み
201905300005-1,2019-05-30,C-003389,CADB1,17,2291600,2019-06-09,,配達済み
201906010000-1,2019-06-01,C-002151,VEDB5,2,449600,2019-06-13,,配達済み
201906010001-1,2019-06-01,C-002980,INNS3,1,126800,2019-06-08,,配達済み
201906010005-1,2019-06-01,C-003348,TADB1,2,29940,2019-06-15,2019-06-20,キャンセル
201906020000-1,2019-06-02,C-000115,PUNR3,2,197480,2019-06-12,,配達済み
201906020001-1,2019-06-02,C-000166,VEDB15,4,3399200,2019-06-10,,配達済み
201906020002-1,2019-06-02,C-000194,INNG7,3,575400,2019-06-13,,配達済み
201906020006-1,2019-06-02,C-000829,PUNR3,6,592440,2019-06-11,,配達済み
201906020008-1,2019-06-02,C-000977,VENB7,1,309800,2019-06-12,,配達済み
201906020010-1,2019-06-02,C-002182,ID16,1,16300,2019-06-10,,配達済み
201906020011-1,2019-06-02,C-002463,TADB3,3,136026,2019-06-12,,配達済み
201906020013-1,2019-06-02,C-003463,INNB5,1,159800,2019-06-10,,配達済み
201906030000-1,2019-06-03,C-000686,CANB11,2,579800,2019-06-11,,配達済み
201906030000-2,2019-06-03,C-000686,TADB3,9,408078,2019-06-10,,配達済み
201906030000-3,2019-06-03,C-000686,TADB1,5,74850,2019-06-10,,配達済み
201906030002-1,2019-06-03,C-000831,CANB7,3,689700,2019-06-14,,配達済み
201906030003-1,2019-06-03,C-001532,INDB7,4,739200,2019-06-08,,配達済み
201906030004-1,2019-06-03,C-002084,ID23,3,59940,2019-06-17,,配達済み
201906030004-2,2019-06-03,C-002084,PUNW1,3,203400,2019-06-15,,配達済み
201906030008-1,2019-06-03,C-002185,CADB5,2,389600,2019-06-10,,配達済み
201906030009-1,2019-06-03,C-002541,ZEDB3,1,155800,2019-06-13,,配達済み
201906030010-1,2019-06-03,C-002563,VEDB5,1,224800,2019-06-10,,配達済み
201906030013-1,2019-06-03,C-002820,CANB5,4,799200,2019-06-13,,配達済み
201906030013-2,2019-06-03,C-002820,CADB15,2,1359600,2019-06-10,,配達済み
201906030017-1,2019-06-03,C-003574,INNS1,4,299200,2019-06-11,,配達済み
201906030018-1,2019-06-03,C-003690,CANB11,1,289900,2019-06-15,,配達済み
201906040000-1,2019-06-04,C-001158,INDB5,2,309600,2019-06-13,,配達済み
201906040001-1,2019-06-04,C-003181,CANB11,8,2319200,2019-06-09,,配達済み
201906060002-1,2019-06-06,C-000263,ID23,2,39960,2019-06-16,,配達済み
201906060003-1,2019-06-06,C-001166,INNS9,1,219800,2019-06-17,,配達済み
201906060004-1,2019-06-06,C-002382,INNS9,4,879200,2019-06-16,,配達済み
201906060005-1,2019-06-06,C-003286,ZENB3,2,309600,2019-06-17,,配達済み
201906060007-1,2019-06-06,C-003439,CADB5,4,779200,2019-06-17,,配達済み
201906060008-1,2019-06-06,C-003469,ZENB5,1,173800,2019-06-18,,配達済み
201906070000-1,2019-06-07,C-001128,CANB1,2,259600,2019-06-18,,配達済み
201906070003-1,2019-06-07,C-001198,INNB1,7,523600,2019-06-18,,配達済み
201906070005-1,2019-06-07,C-002169,PUDB3,6,539640,2019-06-15,,配達済み
201906070007-1,2019-06-07,C-002749,CANB11,2,579800,2019-06-18,,配達済み
201906070008-1,2019-06-07,C-003155,CANB11,1,289900,2019-06-16,,配達済み
201906080002-1,2019-06-08,C-000212,INNS5,3,479400,2019-06-19,,配達済み
201906080003-1,2019-06-08,C-000242,VEDB11,1,399800,2019-06-18,,配達済み
201906080004-1,2019-06-08,C-000540,IMU,1,1230,2019-06-19,,配達済み
201906080005-1,2019-06-08,C-000728,INNG5,4,679200,2019-06-17,,配達済み
201906080010-1,2019-06-08,C-001048,INDB5,0,0,2019-06-16,,配達済み
201906080010-2,2019-06-08,C-001048,VEDB5,1,224800,2019-06-19,,配達済み
201906080013-1,2019-06-08,C-001301,IKU,3,8493,2019-06-19,,配達済み
201906080014-1,2019-06-08,C-001534,IMW,2,5074,2019-06-17,,配達済み
201906080016-1,2019-06-08,C-001970,VENB3,5,1114000,2019-06-17,,配達済み
201906080020-1,2019-06-08,C-002251,INNS1,3,224400,2019-06-16,,配達済み
201906080021-1,2019-06-08,C-002725,ZEDB5,0,0,2019-06-17,,配達済み
201906080022-1,2019-06-08,C-002733,CADB9,5,1599000,2019-06-16,,配達済み
201906080024-1,2019-06-08,C-002875,INDB7,1,184800,2019-06-18,,配達済み
201906080025-1,2019-06-08,C-003403,CADB11,5,1824000,2019-06-20,,配達済み
201906090001-1,2019-06-09,C-001970,VENB5,5,1349000,2019-06-19,,配達済み
201906100001-1,2019-06-10,C-000568,PUNB1,3,203400,2019-06-17,,配達済み
201906100004-1,2019-06-10,C-000799,TADB3,2,90684,2019-06-21,,配達済み
201906100007-1,2019-06-10,C-001050,IMW,4,10148,2019-06-18,,配達済み
201906100010-1,2019-06-10,C-001271,ID23,1,19980,2019-06-21,,配達済み
201906100013-1,2019-06-10,C-001281,CADB7,5,1174000,2019-06-18,,配達済み
201906100013-2,2019-06-10,C-001281,PUDB1,10,718000,2019-06-21,,配達済み
201906100014-1,2019-06-10,C-001302,ZENB5,1,173800,2019-06-20,,配達済み
201906100015-1,2019-06-10,C-001608,CANB13,1,349800,2019-06-21,,配達済み
201906100017-1,2019-06-10,C-001829,CANB7,0,0,2019-06-18,,配達済み
201906100018-1,2019-06-10,C-002527,PUNB3,3,296220,2019-06-16,,配達済み
201906100019-1,2019-06-10,C-002649,IMU,1,1230,2019-06-17,,配達済み
201906100022-1,2019-06-10,C-003720,TADB5,2,248684,2019-06-18,,配達済み
201906100023-1,2019-06-10,C-003741,VENB9,4,1479200,2019-06-19,,配達済み
201906110000-1,2019-06-11,C-000317,VEDB17,2,2199600,2019-06-18,,配達済み
201906110003-1,2019-06-11,C-000543,CANB5,1,199800,2019-06-24,,配達済み
201906110004-1,2019-06-11,C-000737,TADB5,2,248684,2019-06-19,,配達済み
201906130004-1,2019-06-13,C-000497,VEDB1,1,169800,2019-06-24,,配達済み
201906130005-1,2019-06-13,C-000522,CANB11,2,579800,2019-06-23,,配達済み
201906130007-1,2019-06-13,C-000573,ZEDB7,1,216900,2019-06-24,,配達済み
201906130010-1,2019-06-13,C-000627,CANB3,2,299600,2019-06-23,,配達済み
201906130011-1,2019-06-13,C-000894,CADB11,0,0,2019-06-24,,配達済み
201906130012-1,2019-06-13,C-001039,INDB7,12,2217600,2019-06-24,,配達済み
201906130014-1,2019-06-13,C-001170,CADB15,1,679800,2019-06-22,,配達済み
201906130018-1,2019-06-13,C-001798,CANB5,0,0,2019-06-22,,配達済み
201906130018-2,2019-06-13,C-001798,INNG9,1,229800,2019-06-24,,配達済み
201906130019-1,2019-06-13,C-001827,IMU,4,4920,2019-06-22,,配達済み
201906130020-1,2019-06-13,C-002316,ID16,2,32600,2019-06-21,,配達済み
201906130022-1,2019-06-13,C-002900,VEDB5,1,224800,2019-06-24,,配達済み
201906130023-1,2019-06-13,C-003120,CANB5,2,399600,2019-06-21,,配達済み
201906130023-2,2019-06-13,C-003120,IKW,7,26467,2019-06-23,,配達済み
201906130027-1,2019-06-13,C-003292,CANB11,1,289900,2019-06-21,,配達済み
201906130028-1,2019-06-13,C-003315,VENB7,3,929400,2019-06-24,,配達済み
201906130029-1,2019-06-13,C-003321,CANB13,1,349800,2019-06-23,,配達済み
201906140000-1,2019-06-14,C-000309,ID16,1,16300,2019-06-24,,配達済み
201906140001-1,2019-06-14,C-000394,CANB11,3,869700,2019-06-24,,配達済み
201906140003-1,2019-06-14,C-000645,CADB15,2,1359600,2019-06-23,,配達済み
201906140007-1,2019-06-14,C-001011,PUDB3,1,89940,2019-06-22,,配達済み
201906140008-1,2019-06-14,C-001442,ZEDB3,1,155800,2019-06-26,,配達済み
201906140010-1,2019-06-14,C-001688,INDB5,9,1393200,2019-06-27,,配達済み
201906140012-1,2019-06-14,C-002404,ZEDB5,4,715600,2019-06-22,,配達済み
201906140015-1,2019-06-14,C-002497,INNG5,0,0,2019-06-25,,配達済み
201906140016-1,2019-06-14,C-002907,ZEDB7,1,216900,2019-06-25,,配達済み
201906150000-1,2019-06-15,C-000060,ID16,1,16300,2019-06-24,,配達済み
201906150004-1,2019-06-15,C-000591,CADB7,1,234800,2019-06-22,,配達済み
201906150006-1,2019-06-15,C-001448,CADB3,3,524700,2019-06-24,,配達済み
201906150007-1,2019-06-15,C-001478,CADB3,4,699600,2019-06-22,,配達済み
201906150009-1,2019-06-15,C-001740,IMU,6,7380,2019-06-21,,配達済み
201906150010-1,2019-06-15,C-001777,ZENB9,1,279900,2019-06-23,,配達済み
201906150012-1,2019-06-15,C-002655,TADB1,2,29940,2019-06-21,,配達済み
201906150014-1,2019-06-15,C-002993,ID16,1,16300,2019-06-25,,配達済み
201906150017-1,2019-06-15,C-003421,VENB7,0,0,2019-06-22,,配達済み
201906160000-1,2019-06-16,C-000071,IKU,2,5662,2019-06-27,,配達済み
201906160002-1,2019-06-16,C-001000,INDB7,1,184800,2019-06-26,,配達済み
201906160004-1,2019-06-16,C-001863,INDB9,3,650400,2019-06-25,,配達済み
201906160005-1,2019-06-16,C-002056,ZEDB3,1,155800,2019-06-25,,配達済み
201906160008-1,2019-06-16,C-002268,INNS3,4,507200,2019-06-27,,配達済み
201906160012-1,2019-06-16,C-002611,ZENB5,1,173800,2019-06-24,,配達済み
201906160013-1,2019-06-16,C-003350,PUNR3,1,98740,2019-06-25,,配達済み
201906160015-1,2019-06-16,C-003700,PUNW3,4,394960,2019-06-27,,配達済み
201906160016-1,2019-06-16,C-003793,VENB3,1,222800,2019-06-27,,配達済み
201906170000-1,2019-06-17,C-000816,INNS5,2,319600,2019-06-27,,配達済み
201906170003-1,2019-06-17,C-003360,CANB11,8,2319200,2019-06-28,,配達済み
201906180002-1,2019-06-18,C-000016,INNS9,2,439600,2019-06-29,,配達済み
201906180003-1,2019-06-18,C-002625,VENB3,1,222800,2019-06-24,,配達済み
201906200000-1,2019-06-20,C-000237,INNS3,1,126800,2019-06-29,,配達済み
201906200001-1,2019-06-20,C-000517,VEDB17,0,0,2019-07-01,,配達済み
201906200007-1,2019-06-20,C-000601,TADB3,1,45342,2019-07-01,,配達済み
201906200008-1,2019-06-20,C-002731,CANB7,4,919600,2019-06-29,,配達済み
201906200008-2,2019-06-20,C-002731,VEDB5,1,224800,2019-06-30,,配達済み
201906200009-1,2019-06-20,C-003068,INNB1,1,74800,2019-07-01,,配達済み
